column,selectivity,threshold,method,run,time_ms
l_tax,22.2%,0.02,sketch,1,112.000
l_tax,22.2%,0.02,sketch,2,112.000
l_tax,22.2%,0.02,sketch,3,110.000
l_tax,22.2%,0.02,sketch,4,110.000
l_tax,22.2%,0.02,sketch,5,110.000
l_tax,44.4%,0.04,sketch,1,110.000
l_tax,44.4%,0.04,sketch,2,114.000
l_tax,44.4%,0.04,sketch,3,108.000
l_tax,44.4%,0.04,sketch,4,110.000
l_tax,44.4%,0.04,sketch,5,112.000
l_tax,66.7%,0.06,sketch,1,113.000
l_tax,66.7%,0.06,sketch,2,111.000
l_tax,66.7%,0.06,sketch,3,107.000
l_tax,66.7%,0.06,sketch,4,112.000
l_tax,66.7%,0.06,sketch,5,115.000
l_tax,88.9%,0.08,sketch,1,109.000
l_tax,88.9%,0.08,sketch,2,110.000
l_tax,88.9%,0.08,sketch,3,109.000
l_tax,88.9%,0.08,sketch,4,110.000
l_tax,88.9%,0.08,sketch,5,110.000
l_tax,11.1%,0.01,cubit,1,131.000
l_tax,11.1%,0.01,cubit,2,109.000
l_tax,11.1%,0.01,cubit,3,110.000
l_tax,11.1%,0.01,cubit,4,110.000
l_tax,11.1%,0.01,cubit,5,110.000
l_tax,22.2%,0.02,cubit,1,109.000
l_tax,22.2%,0.02,cubit,2,110.000
l_tax,22.2%,0.02,cubit,3,109.000
l_tax,22.2%,0.02,cubit,4,108.000
l_tax,22.2%,0.02,cubit,5,110.000
l_tax,44.4%,0.04,cubit,1,109.000
l_tax,44.4%,0.04,cubit,2,109.000
l_tax,44.4%,0.04,cubit,3,109.000
l_tax,44.4%,0.04,cubit,4,111.000
l_tax,44.4%,0.04,cubit,5,111.000
l_tax,66.7%,0.06,cubit,1,107.000
l_tax,66.7%,0.06,cubit,2,109.000
l_tax,66.7%,0.06,cubit,3,108.000
l_tax,66.7%,0.06,cubit,4,109.000
l_tax,66.7%,0.06,cubit,5,110.000
l_tax,88.9%,0.08,cubit,1,107.000
l_tax,88.9%,0.08,cubit,2,110.000
l_tax,88.9%,0.08,cubit,3,109.000
l_tax,88.9%,0.08,cubit,4,109.000
l_tax,88.9%,0.08,cubit,5,108.000
l_tax,11.1%,0.01,rabit,1,117.000
l_tax,11.1%,0.01,rabit,2,110.000
l_tax,11.1%,0.01,rabit,3,110.000
l_tax,11.1%,0.01,rabit,4,110.000
l_tax,11.1%,0.01,rabit,5,113.000
l_tax,22.2%,0.02,rabit,1,113.000
l_tax,22.2%,0.02,rabit,2,108.000
l_tax,22.2%,0.02,rabit,3,109.000
l_tax,22.2%,0.02,rabit,4,114.000
l_tax,22.2%,0.02,rabit,5,113.000
l_tax,44.4%,0.04,rabit,1,114.000
l_tax,44.4%,0.04,rabit,2,112.000
l_tax,44.4%,0.04,rabit,3,111.000
l_tax,44.4%,0.04,rabit,4,111.000
l_tax,44.4%,0.04,rabit,5,114.000
l_tax,66.7%,0.06,rabit,1,112.000
l_tax,66.7%,0.06,rabit,2,112.000
l_tax,66.7%,0.06,rabit,3,114.000
l_tax,66.7%,0.06,rabit,4,116.000
l_tax,66.7%,0.06,rabit,5,110.000
l_tax,88.9%,0.08,rabit,1,116.000
l_tax,88.9%,0.08,rabit,2,116.000
l_tax,88.9%,0.08,rabit,3,108.000
l_tax,88.9%,0.08,rabit,4,108.000
l_tax,88.9%,0.08,rabit,5,121.000
